12, 868.5, 313388.6163870573, False 
11, 868.1, 315073.0616963353, False 
12, 868.3, 310406.63623668684, False 
9, 868.1, 298708.96119120263, False 
7, 868.5, 221768.70503597124, False 
7, 868.3, 63640.85284378087, False 
8, 868.5, 281617.64281217696, False 
7, 868.5, 141285.85870203454, False 
11, 868.5, 315189.8487066862, False 
7, 868.3, 91.01469045120672, False 
12, 868.3, 311298.6917476323, False 
9, 868.3, 304577.7670936502, False 
9, 868.3, 288609.6259653447, False 
10, 868.1, 311733.1382147091, False 
7, 868.3, 100300.83429044501, False 
8, 868.1, 255071.89559424834, False 
12, 868.5, 313569.28618444473, False 
7, 868.3, 102530.85233873993, False 
8, 868.3, 279939.9348663245, False 
9, 868.5, 302553.66858366993, False 
7, 868.1, 84873.89431455723, False 
7, 868.3, 175484.00048179226, False 
9, 868.3, 285434.7020676665, False 
9, 868.5, 303080.1792828685, False 
7, 868.5, 222599.51038172093, False 
8, 868.1, 282614.50299452804, False 
7, 868.1, 1181712.222395595, False 
7, 868.5, 237038.3371188657, False 
12, 868.3, 313705.3393052499, False 
10, 868.3, 179184.978532615, False 
11, 868.5, 314634.3101154752, False 
7, 868.3, 24307.059608926305, False 
10, 868.5, 308696.19043837173, False 
8, 868.5, 281711.38954070664, False 
7, 868.1, 84342.20918424914, False 
11, 868.5, 314999.460531358, False 
8, 868.5, 264759.4018521235, False 
9, 868.3, 295498.0042699341, False 
12, 868.3, 313388.6163870573, False 
11, 868.1, 315073.0616963353, False 
12, 868.1, 310406.63623668684, False 
9, 868.1, 298708.96119120263, False 
7, 868.1, 221768.70503597124, False 
7, 868.5, 63640.85284378087, False 
8, 868.1, 281617.64281217696, False 
7, 868.5, 141285.85870203454, False 
11, 868.5, 315189.8487066862, False 
7, 868.3, 91.01469045120672, False 
12, 868.3, 311298.6917476323, False 
9, 868.3, 304577.7670936502, False 
9, 868.3, 288609.6259653447, False 
10, 868.5, 311733.1382147091, False 
7, 868.5, 100300.83429044501, False 
8, 868.3, 255071.89559424834, False 
12, 868.1, 313569.28618444473, False 
7, 868.5, 102530.85233873993, False 
8, 868.5, 279939.9348663245, False 
9, 868.1, 302553.66858366993, False 
